x: 0, y: 0, z: 0
x: 0, y: 0, z: 0
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257201, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
x: -0.0408318, y: -0.00257195, z: 1.33271
